2025-06-11 06:42:29.774100 UTC,221.955,-24.6657;
2025-06-11 06:42:31.774100 UTC,221.932,-24.5955;
2025-06-11 06:42:33.774100 UTC,221.909,-24.5253;
2025-06-11 06:42:35.774100 UTC,221.886,-24.455;
2025-06-11 06:42:37.774100 UTC,221.863,-24.3848;
2025-06-11 06:42:39.774100 UTC,221.84,-24.3144;
2025-06-11 06:42:41.774100 UTC,221.817,-24.2441;
2025-06-11 06:42:43.774100 UTC,221.794,-24.1736;
2025-06-11 06:42:45.774100 UTC,221.771,-24.1032;
2025-06-11 06:42:47.774100 UTC,221.747,-24.0327;
2025-06-11 06:42:49.774100 UTC,221.724,-23.9622;
2025-06-11 06:42:51.774100 UTC,221.701,-23.8916;
2025-06-11 06:42:53.774100 UTC,221.677,-23.821;
2025-06-11 06:42:55.774100 UTC,221.654,-23.7504;
2025-06-11 06:42:57.774100 UTC,221.63,-23.6797;
2025-06-11 06:42:59.774100 UTC,221.606,-23.609;
2025-06-11 06:43:01.774100 UTC,221.583,-23.5382;
2025-06-11 06:43:03.774100 UTC,221.559,-23.4674;
2025-06-11 06:43:05.774100 UTC,221.535,-23.3966;
2025-06-11 06:43:07.774100 UTC,221.511,-23.3257;
2025-06-11 06:43:09.774100 UTC,221.487,-23.2548;
2025-06-11 06:43:11.774100 UTC,221.463,-23.1838;
2025-06-11 06:43:13.774100 UTC,221.439,-23.1128;
2025-06-11 06:43:15.774100 UTC,221.414,-23.0417;
2025-06-11 06:43:17.774100 UTC,221.39,-22.9706;
2025-06-11 06:43:19.774100 UTC,221.366,-22.8995;
2025-06-11 06:43:21.774100 UTC,221.341,-22.8283;
2025-06-11 06:43:23.774100 UTC,221.317,-22.7571;
2025-06-11 06:43:25.774100 UTC,221.292,-22.6858;
2025-06-11 06:43:27.774100 UTC,221.268,-22.6145;
2025-06-11 06:43:29.774100 UTC,221.243,-22.5431;
2025-06-11 06:43:31.774100 UTC,221.218,-22.4717;
2025-06-11 06:43:33.774100 UTC,221.193,-22.4003;
2025-06-11 06:43:35.774100 UTC,221.168,-22.3288;
2025-06-11 06:43:37.774100 UTC,221.143,-22.2573;
2025-06-11 06:43:39.774100 UTC,221.118,-22.1857;
2025-06-11 06:43:41.774100 UTC,221.093,-22.114;
2025-06-11 06:43:43.774100 UTC,221.067,-22.0424;
2025-06-11 06:43:45.774100 UTC,221.042,-21.9706;
2025-06-11 06:43:47.774100 UTC,221.017,-21.8989;
2025-06-11 06:43:49.774100 UTC,220.991,-21.8271;
2025-06-11 06:43:51.774100 UTC,220.965,-21.7552;
2025-06-11 06:43:53.774100 UTC,220.94,-21.6833;
2025-06-11 06:43:55.774100 UTC,220.914,-21.6113;
2025-06-11 06:43:57.774100 UTC,220.888,-21.5393;
2025-06-11 06:43:59.774100 UTC,220.862,-21.4673;
2025-06-11 06:44:01.774100 UTC,220.836,-21.3952;
2025-06-11 06:44:03.774100 UTC,220.81,-21.323;
2025-06-11 06:44:05.774100 UTC,220.784,-21.2508;
2025-06-11 06:44:07.774100 UTC,220.757,-21.1786;
2025-06-11 06:44:09.774100 UTC,220.731,-21.1063;
2025-06-11 06:44:11.774100 UTC,220.704,-21.0339;
2025-06-11 06:44:13.774100 UTC,220.678,-20.9615;
2025-06-11 06:44:15.774100 UTC,220.651,-20.8891;
2025-06-11 06:44:17.774100 UTC,220.624,-20.8166;
2025-06-11 06:44:19.774100 UTC,220.597,-20.744;
2025-06-11 06:44:21.774100 UTC,220.57,-20.6714;
2025-06-11 06:44:23.774100 UTC,220.543,-20.5987;
2025-06-11 06:44:25.774100 UTC,220.516,-20.526;
2025-06-11 06:44:27.774100 UTC,220.489,-20.4533;
2025-06-11 06:44:29.774100 UTC,220.462,-20.3804;
2025-06-11 06:44:31.774100 UTC,220.434,-20.3076;
2025-06-11 06:44:33.774100 UTC,220.407,-20.2346;
2025-06-11 06:44:35.774100 UTC,220.379,-20.1616;
2025-06-11 06:44:37.774100 UTC,220.351,-20.0886;
2025-06-11 06:44:39.774100 UTC,220.323,-20.0155;
2025-06-11 06:44:41.774100 UTC,220.295,-19.9424;
